DayOfYear,DepTime,CRSDepTime,ArrTime,CRSArrTime,Unnamed: 0,DayOfWeek,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
143,1280,1240,73,1438,92,4,B6,87,N703JB,353.0,318.0,290.0,75.0,40,JFK,SLC,1989,3.0,60.0,0,N,0
284,938,928,979,973,93,5,OO,6578,N927SW,101.0,105.0,83.0,6.0,10,TUL,DEN,541,5.0,13.0,0,N,0
283,1220,1205,1333,1312,94,4,AS,405,N612AS,113.0,107.0,89.0,21.0,15,SJC,PDX,569,7.0,17.0,0,N,0
64,931,910,1102,1061,95,2,US,1240,N932UW,171.0,151.0,144.0,41.0,21,TPA,PHL,920,8.0,19.0,0,N,0
143,339,330,497,489,96,4,CO,611,N12221,218.0,219.0,193.0,8.0,9,EWR,IAH,1400,9.0,16.0,0,N,0
28,964,910,1093,1052,97,1,B6,119,N178JB,189.0,202.0,156.0,41.0,54,JFK,MSY,1182,5.0,28.0,0,N,0
215,707,680,825,775,98,6,AA,1701,N201AA,178.0,155.0,130.0,50.0,27,CLT,DFW,936,13.0,35.0,0,N,0
232,866,860,940,945,100,2,MQ,4044,N524AE,74.0,85.0,60.0,-5.0,6,ORD,BNA,409,3.0,11.0,0,N,0
238,1035,920,1194,1084,101,1,FL,645,N992AT,159.0,164.0,119.0,110.0,115,LGA,ATL,761,13.0,27.0,0,N,0
186,993,980,1241,1232,102,5,NW,1065,N325US,188.0,192.0,161.0,9.0,13,SAT,DTW,1215,7.0,20.0,0,N,0
303,662,585,710,650,103,3,MQ,4200,N918MQ,48.0,65.0,36.0,60.0,77,ORD,EVV,273,2.0,10.0,0,N,0
154,553,540,1082,1086,104,1,DL,1,N3745B,349.0,366.0,295.0,-4.0,13,SFO,JFK,2586,40.0,14.0,0,N,0
120,1118,1038,1253,1184,105,2,UA,1583,N470UA,255.0,266.0,239.0,69.0,80,MIA,DEN,1709,5.0,11.0,0,N,0
302,1280,1235,1370,1325,106,2,WN,278,N740SW,90.0,90.0,76.0,45.0,45,SDF,BWI,495,5.0,9.0,0,N,0
116,848,838,938,928,107,5,NW,1142,N532US,90.0,90.0,67.0,10.0,10,DTW,BWI,408,4.0,19.0,0,N,0
28,567,540,612,590,108,1,OO,1976,N816SK,105.0,110.0,89.0,22.0,27,ATL,XNA,589,4.0,12.0,0,N,0
141,1101,990,1357,1200,109,2,XE,2567,N15910,196.0,150.0,111.0,157.0,111,BNA,EWR,748,16.0,69.0,0,N,0
83,1054,1030,1198,1189,110,7,B6,309,N529JB,324.0,339.0,302.0,9.0,24,IAD,SAN,2253,2.0,20.0,0,N,0
126,711,705,803,804,111,1,US,1058,N934UW,92.0,99.0,71.0,-1.0,6,MCO,CLT,468,4.0,17.0,0,N,0
364,551,533,641,624,112,1,NW,1191,N378NW,270.0,271.0,244.0,17.0,18,DTW,LAS,1750,7.0,19.0,0,N,0
32,664,455,766,561,113,5,OO,5934,N948SW,102.0,106.0,75.0,205.0,209,XNA,ORD,522,11.0,16.0,0,N,0
206,522,516,560,557,114,4,OO,5746,N236SW,38.0,41.0,25.0,3.0,6,CLD,LAX,86,5.0,8.0,0,N,0
207,1187,1160,1275,1250,115,5,MQ,4146,N815AE,148.0,150.0,118.0,25.0,27,BDL,ORD,783,23.0,7.0,0,N,0
23,670,650,833,800,116,3,MQ,4062,N672AE,103.0,90.0,65.0,33.0,20,ORD,BUF,473,5.0,33.0,0,N,0
354,462,450,527,520,117,5,WN,1218,N315SW,65.0,70.0,48.0,7.0,12,LAS,BUR,223,2.0,15.0,0,N,0
54,899,795,1019,928,118,6,DL,1162,N950DL,120.0,133.0,106.0,91.0,104,TPA,CVG,773,6.0,8.0,0,N,0
199,747,735,805,798,119,4,DL,747,N388DA,178.0,183.0,151.0,7.0,12,ATL,DEN,1199,9.0,18.0,0,N,0
196,952,940,1072,1080,120,1,WN,17,N303SW,120.0,140.0,106.0,-8.0,12,JAX,PHL,742,5.0,9.0,0,N,0
109,1120,1108,1276,1255,121,5,AS,374,N546AS,156.0,147.0,132.0,21.0,12,SEA,ONT,956,5.0,19.0,0,N,0
196,1239,1185,1369,1317,122,1,FL,459,N969AT,130.0,132.0,110.0,52.0,54,BWI,MCO,787,9.0,11.0,0,N,0
122,1110,1090,1267,1231,123,4,CO,285,N14337,277.0,261.0,237.0,36.0,20,IAH,OAK,1628,7.0,33.0,0,N,0
47,407,390,596,589,124,6,XE,2585,N12900,129.0,139.0,105.0,7.0,17,STL,EWR,872,7.0,17.0,0,N,0
1,1174,1145,1251,1240,125,2,WN,2788,N247WN,77.0,95.0,60.0,11.0,29,LAS,SFO,414,5.0,12.0,0,N,0
231,653,635,1054,1055,126,1,DL,180,N604DL,221.0,240.0,186.0,-1.0,18,PHX,ATL,1587,12.0,23.0,0,N,0
176,1280,1250,1387,1339,127,2,OO,6567,N712SK,167.0,149.0,118.0,48.0,30,ORD,COS,911,6.0,43.0,0,N,0
360,542,530,699,701,128,4,CO,1767,N72405,277.0,291.0,255.0,-2.0,12,IAH,SEA,1874,5.0,17.0,0,N,0
357,1081,990,1128,1040,129,1,WN,3750,N396SW,47.0,50.0,36.0,88.0,91,TPA,PBI,174,4.0,7.0,0,N,0
326,799,790,839,832,130,5,OO,5786,N296SW,40.0,42.0,29.0,7.0,9,PDX,EUG,106,2.0,9.0,0,N,0
76,1025,1000,1159,1140,131,7,AA,1299,N5CNAA,134.0,140.0,117.0,19.0,25,MIA,SJU,1045,5.0,12.0,0,N,0
87,1218,1205,1299,1280,132,4,MQ,3115,N835AE,81.0,75.0,55.0,19.0,13,SJC,LAX,308,8.0,18.0,0,N,0
18,367,360,470,459,133,5,UA,707,N417UA,163.0,159.0,125.0,11.0,7,ORD,DEN,888,8.0,30.0,0,N,0
67,1023,990,1149,1081,134,5,US,768,N952UW,126.0,91.0,94.0,68.0,33,BOS,PHL,280,6.0,26.0,0,N,0
50,436,405,647,613,135,2,CO,683,N59302,271.0,268.0,248.0,34.0,31,BOS,IAH,1597,6.0,17.0,0,N,0
343,367,360,500,513,136,1,AS,244,N594AS,133.0,153.0,108.0,-13.0,7,SEA,LAX,954,13.0,12.0,0,N,0
169,421,415,481,485,137,2,MQ,3499,N678AE,60.0,70.0,45.0,-4.0,6,AMA,DFW,313,8.0,7.0,0,N,0
49,747,665,943,841,138,1,CO,1555,N57855,196.0,176.0,167.0,102.0,82,PBI,EWR,1024,15.0,14.0,0,N,0
257,1085,1079,1252,1253,139,6,YV,7128,N510MJ,107.0,114.0,87.0,-1.0,6,ORD,CLT,599,5.0,15.0,0,N,0
361,1273,1170,1383,1285,140,5,MQ,4888,N719MQ,110.0,115.0,86.0,98.0,103,LGA,CMH,478,13.0,11.0,0,N,0
267,1152,1140,1279,1275,141,2,WN,884,N791SW,127.0,135.0,115.0,4.0,12,MCO,BWI,787,4.0,8.0,0,N,0
97,763,755,884,873,142,7,9E,2969,88479E,121.0,118.0,89.0,11.0,8,RIC,DTW,456,12.0,20.0,0,N,0
48,805,695,915,803,143,7,CO,1480,N26123,170.0,168.0,142.0,112.0,110,IAH,EGE,935,4.0,24.0,0,N,0
163,481,340,532,395,144,3,XE,2384,N26141,51.0,55.0,36.0,137.0,141,SHV,IAH,192,5.0,10.0,0,N,0
279,1032,1025,1254,1250,145,7,AA,1046,N641AA,162.0,165.0,141.0,4.0,7,DFW,MIA,1121,7.0,14.0,0,N,0
49,917,904,1016,995,146,1,EV,4293,N904EV,159.0,151.0,128.0,21.0,13,ATL,OMA,821,3.0,28.0,0,N,0
74,988,970,1133,1130,147,5,WN,396,N777QC,85.0,100.0,72.0,3.0,18,ABQ,DAL,580,3.0,10.0,0,N,0
277,1185,1175,1327,1325,148,5,OH,6749,N914CA,142.0,150.0,101.0,2.0,10,LGA,CHS,641,17.0,24.0,0,N,0
204,1309,1126,58,1315,149,2,DL,776,N977DL,129.0,129.0,97.0,183.0,183,DFW,ATL,732,18.0,14.0,0,N,0
153,771,762,931,929,150,7,FL,659,N975AT,160.0,167.0,145.0,2.0,9,PBI,HPN,1057,6.0,9.0,0,N,0
88,1112,1105,1190,1175,151,5,WN,3338,N618WN,138.0,130.0,115.0,15.0,7,PHL,BNA,675,5.0,18.0,0,N,0
317,1242,1210,1355,1317,152,3,OO,5991,N919SW,113.0,107.0,81.0,38.0,32,ORD,XNA,522,6.0,26.0,0,N,0
142,930,920,995,995,153,3,WN,3770,N703SW,65.0,75.0,57.0,0.0,10,CLE,BWI,314,3.0,5.0,0,N,0
137,1158,1139,1227,1202,154,5,EV,4312,N933EV,129.0,123.0,102.0,25.0,19,ATL,TUL,674,4.0,23.0,0,N,0
361,690,680,765,760,155,5,NW,1016,N671MC,75.0,80.0,46.0,5.0,10,IND,DTW,231,9.0,20.0,0,N,0
176,1204,1140,1265,1225,156,2,US,2141,N750UW,61.0,85.0,45.0,40.0,64,BOS,LGA,185,4.0,12.0,0,N,0
109,1259,1184,1315,1253,157,5,US,134,N836AW,56.0,69.0,43.0,62.0,75,SNA,LAS,226,5.0,8.0,0,N,0
354,785,770,925,895,158,5,WN,724,N665WN,200.0,185.0,159.0,30.0,15,DEN,SEA,1024,27.0,14.0,0,N,0
165,809,765,824,775,159,5,MQ,4461,N698CB,75.0,70.0,50.0,49.0,44,IND,ORD,177,7.0,18.0,0,N,0
188,1021,1015,22,40,160,7,WN,211,N479WN,261.0,285.0,245.0,-18.0,6,PHX,PHL,2075,8.0,8.0,0,N,0
283,602,585,1035,1006,161,4,US,628,N663AW,253.0,241.0,218.0,29.0,17,LAS,PIT,1910,10.0,25.0,0,N,0
53,695,640,774,706,162,5,OO,5446,N292SW,79.0,66.0,52.0,68.0,55,SFO,SBP,191,5.0,22.0,0,N,0
280,617,570,759,724,163,1,B6,64,N665JB,142.0,154.0,126.0,35.0,47,TPA,JFK,1005,5.0,11.0,0,N,0
182,542,465,756,659,164,1,US,657,N820AW,394.0,374.0,323.0,97.0,77,PHL,SFO,2521,12.0,59.0,0,N,0
37,899,767,956,824,165,3,UA,1209,N429UA,57.0,57.0,33.0,132.0,132,EGE,DEN,121,3.0,21.0,0,N,0
243,493,480,648,645,166,6,WN,2426,N524SW,95.0,105.0,84.0,3.0,13,MSY,MCO,550,5.0,6.0,0,N,0
168,1294,1285,1427,1420,167,1,WN,3256,N609SW,133.0,135.0,117.0,7.0,9,TPA,BWI,842,3.0,13.0,0,N,0
228,1030,970,1143,1100,168,5,WN,1951,N445WN,113.0,130.0,99.0,43.0,60,GEG,OAK,723,5.0,9.0,0,N,0
227,914,865,1023,980,169,4,MQ,4568,N702AE,109.0,115.0,88.0,43.0,49,RDU,BOS,612,7.0,14.0,0,N,0
357,1046,981,1091,1032,170,1,OO,5417,N583SW,45.0,51.0,33.0,59.0,65,SAN,LAX,109,4.0,8.0,0,N,0
107,594,585,688,675,171,3,CO,1723,N47332,214.0,210.0,192.0,13.0,9,IAH,ONT,1334,4.0,18.0,0,N,0
308,1099,1004,1203,1105,172,1,UA,1685,N480UA,104.0,101.0,83.0,98.0,95,LAS,SFO,414,5.0,16.0,0,N,0
80,981,935,1058,1010,173,4,WN,280,N902WN,77.0,75.0,63.0,48.0,46,SMF,ONT,389,4.0,10.0,0,N,0
199,940,900,1093,1065,174,4,AS,470,N968AS,153.0,165.0,134.0,28.0,40,SEA,LAX,954,4.0,15.0,0,N,0
36,835,815,959,950,175,2,WN,1437,N354SW,64.0,75.0,52.0,9.0,20,LAS,TUS,365,4.0,8.0,0,N,0
183,678,650,769,750,177,2,FL,574,N312AT,151.0,160.0,125.0,19.0,28,ATL,MSP,906,4.0,22.0,0,N,0
335,657,570,779,692,178,7,EV,5136,N751EV,122.0,122.0,78.0,87.0,87,ATL,ROC,749,4.0,40.0,0,N,0
190,1256,1183,1320,1261,179,2,YV,7141,N593ML,64.0,78.0,48.0,59.0,73,SYR,IAD,296,8.0,8.0,0,N,0
175,1254,1195,1360,1330,180,1,WN,2263,N638SW,106.0,135.0,99.0,30.0,59,OAK,TUS,747,2.0,5.0,0,N,0
102,715,697,1022,1023,181,5,UA,918,N425UA,187.0,206.0,168.0,-1.0,18,DEN,IAD,1452,5.0,14.0,0,N,0
6,825,771,879,825,182,7,UA,298,N837UA,54.0,54.0,37.0,54.0,54,GUC,DEN,152,5.0,12.0,0,N,0
67,522,495,610,590,183,5,F9,573,N905FR,88.0,95.0,65.0,20.0,27,DEN,SLC,391,9.0,14.0,0,N,0
43,1280,1265,1360,1355,184,2,WN,1274,N790SW,80.0,90.0,67.0,5.0,15,LAS,SFO,414,5.0,8.0,0,N,0
190,1270,935,1341,1011,185,2,UA,514,N809UA,71.0,76.0,50.0,330.0,335,DSM,ORD,299,9.0,12.0,0,N,0
221,1099,1045,1258,1210,186,5,AA,2238,N445AA,99.0,105.0,80.0,48.0,54,ELP,DFW,551,12.0,7.0,0,N,0
279,950,940,1093,1089,187,7,DL,918,N679DA,143.0,149.0,100.0,4.0,10,ATL,LGA,761,8.0,35.0,0,N,0
49,619,545,686,617,188,1,UA,299,N383UA,67.0,72.0,54.0,69.0,74,SFO,BUR,326,2.0,11.0,0,N,0
70,1148,1140,1251,1244,189,1,UA,861,N558UA,103.0,104.0,71.0,7.0,8,BOS,IAD,413,6.0,26.0,0,N,0
335,617,610,754,755,190,7,WN,96,N394SW,77.0,85.0,65.0,-1.0,7,ELP,SAT,496,3.0,9.0,0,N,0
232,930,923,979,979,191,2,FL,380,N968AT,109.0,116.0,86.0,0.0,7,ATL,MLI,633,4.0,19.0,0,N,0
167,1001,920,1143,1074,192,7,B6,303,N613JB,142.0,154.0,127.0,69.0,81,IAD,FLL,901,3.0,12.0,0,N,0
63,1080,1020,1346,1295,193,1,B6,626,N258JB,206.0,215.0,182.0,51.0,60,HOU,JFK,1428,7.0,17.0,0,N,0
283,949,940,1026,1020,194,4,XE,2157,N13964,137.0,140.0,124.0,6.0,9,JAX,IAH,817,6.0,7.0,0,N,0
206,847,780,970,908,195,4,US,1610,N409US,123.0,128.0,101.0,62.0,67,MIA,CLT,650,4.0,18.0,0,N,0
53,990,910,1222,1162,196,5,US,1274,N945UW,172.0,192.0,154.0,60.0,80,DFW,PHL,1302,4.0,14.0,0,N,0
352,1386,1365,44,1432,197,3,NW,1763,N782NC,98.0,67.0,52.0,52.0,21,MSP,OMA,282,4.0,42.0,0,N,0
222,676,588,776,699,198,6,YV,7314,N515MJ,100.0,111.0,82.0,77.0,88,JAX,IAD,631,7.0,11.0,0,N,0
325,1162,1145,1400,1380,199,4,CO,1417,N59630,178.0,175.0,137.0,20.0,17,IAH,PIT,1117,8.0,33.0,0,N,0
337,1037,1025,1102,1095,200,2,AA,351,N481AA,185.0,190.0,167.0,7.0,12,DFW,ONT,1189,7.0,11.0,0,N,0
181,498,430,665,605,201,7,DL,1847,N399DA,287.0,295.0,267.0,60.0,68,FLL,SLC,2083,5.0,15.0,0,N,0
